id,class,sentence
1;"joy";" during the period of falling in love each time that we met and especially when we had not met for a long time"
2;"fear";" when i was involved in a traffic accident"
3;"anger";" when i was driving home after several days of hard work there was a motorist ahead of me who was driving at hour and refused despite his low speed to let me overtake"
4;"sadness";" when i lost the person who meant the most to me"
5;"disgust";" the time i knocked a deer down the sight of the animals injuries and helplessness the realization that the animal was so badly hurt that it had to be put down and when the animal screamed at the moment of death"
6;"shame";" when i did not speak the truth"
7;"guilt";" when i caused problems for somebody because he could not keep the appointed time and this led to various consequences"
8;"joy";" when i got a letter offering me the summer job that i had applied for"
9;"fear";" when i was going home alone one night in paris and a man came up behind me and asked me if i was not afraid to be out alone so late at night"
10;"anger";" when i was talking to him at a party for the first time in a long while and a friend came and interrupted us and he left"
11;"sadness";" when my friends did not ask me to go to a new years party with them"
12;"disgust";" when i saw all the very drunk kids years old in town on Walpurgis night"
13;"shame";" when i could not remember what to say about a presentation task at an accounts meeting"
14;"guilt";" when my uncle and my neighbour came home under police escort"
15;"joy";" on days when i feel close to my partner and other friends when i feel at peace with myself and also experience a close contact with people whom i regard greatly"
16;"fear";" every time i imagine that someone i love or i could contact a serious illness even death"
17;"anger";" when i had been obviously unjustly treated and had no possibility of elucidating this"
18;"sadness";" when i think about the short time that we live and relate it to the periods of my life when i think that i did not use this short time"
19;"disgust";" at a gathering i found myself involuntarily sitting next to two people who expressed opinions that i considered very low and discriminating"
20;"shame";" when i realized that i was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feelings"
21;"guilt";" i feel guilty when when i realize that i consider material things more important than caring for my relatives i feel very selfcentered"
22;"joy";" after my girlfriend had taken her exam we went to her parents place"
23;"fear";" when for the first time i realized the meaning of death"
24;"anger";" when a car is overtaking another and i am forced to drive off the road"
25;"sadness";" when i recently thought about the hard work it takes to study and how one wants to try something else when i read a theoretical book in english that i did not understand"
26;"disgust";" when i found a bristle in the liver paste tube"
27;"shame";" when i was tired and unmotivated i shouted at my girlfriend and and brought up negative sides of her character which are actually not so important"
28;"guilt";" when i think that i do not study enough after the weekend i think that i should have been able to have accomplished something during that time"
29;"joy";" when i pass an examination which i did not think i did well"
30;"fear";" when one has arranged to meet someone and that person arrives late in the meantime one starts thinking about all that could have gone wrong eg a traffic accident"
31;"anger";" when one is unjustly accused of something one has not done"
32;"sadness";" when ones studies seem hopelessly difficult and uninteresting"
33;"disgust";" when one finds out that someone you know is not at all like one had thought for instance friends who steal and things like that quite unwarranted"
34;"shame";" when one has been unjust stupid towards someone else"
35;"guilt";" when one has neglected or been unjust to a good friend"
36;"joy";" passing an exam i did not expect to pass"
37;"fear";" when i climbed up a tree to pick apples the angle of the ladder i was on did not enable me to get high enough this implied that the ladder was not very stable"
38;"anger";" friends who torture animals"
39;"sadness";" same as in anger"
40;"disgust";" friends who torture animals"
41;"shame";" same as above friends who torture animals"
42;"guilt";" when excuses are necessary and i get out of doing it myself"
43;"joy";" when i had my children"
44;"fear";" when my year old son climbed up and sat on the th floor balcony with his legs hanging out he was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down"
45;"anger";" when my partner was attacked and lost three teeth"
46;"sadness";" when i see children on tv from areas devastated by drought and war"
47;"disgust";" when i nearly walked on a blindworm and then saw it crawl away"
48;"shame";" when i saw my year old son grab an oxygen mask as he had breathing difficulties i had a bad conscience because i had not stopped smoking medication for the dilation of his breathing tubes also caused a sense of guilt in me"
49;"guilt";" i experience a sense of guilt as my middle son can not express himself like other children neither verbally nor in writing"
50;"joy";" when my child was born"
51;"fear";" it was winterspring and the ice was melting i was far out on a jetty and i poked the ice with a long branch to try and break it the branch went through the ice and i fell in the water closed in over my head"
52;"anger";" unjust accusations directed at me and my way of acting by someone close to me"
53;"sadness";" failing an examination"
54;"disgust";" a drunkard fell started bleeding and wet himself disgust that turned into sadnessunpleasantness"
55;"shame";" when as an adult i have been caught lying or behaving badly"
56;"guilt";" when i am in an environment or with a person much worse off than me i realize how privileged i am"
57;"joy";" when i saw a person i had not seen for a long time"
58;"fear";" when as a child i was nearly knocked down by a car"
59;"anger";" when i heard on the radio that the football match in belgium had ended in a catastrophe and several people had died i could not understand how normal people could behave in such a way"
60;"sadness";" when i feel lonely perhaps because i have to study a lot and i am shut up in my apartment nothing happens in particular because there is no time for anything else"
61;"disgust";" when one learns through the mass media all the wars and killing going on in the world"
62;"shame";" i lied to be precise i cancelled a meeting with a good friend"
63;"guilt";" when one lets friends down"
64;"joy";" when i was accepted for a course on finance and accounting"
65;"fear";" a bus drove over my right leg the event itself was not very frightening but when i had to wait in the emergency ward for three hours and then my leg began to swell i was frightened"
66;"anger";" at my summer job nobody looked after me in particular and i had to learn all on my own"
67;"sadness";" when i was not accepted as a student in finance and accounting"
68;"disgust";" when i had just moved into my new apartment i found a ventilator in the kitchen i was going to clean it when i found that the drum was full of mud and slime i felt disgusted"
69;"shame";" my elder brother and i have not always had a good relationship and i feel ashamed of myself as i do not call him to talk to him nowadays"
70;"guilt";" at my summer job a new caretaker had been employed who was my age but i preferred going out for lunch with the accounts personnel rather than with him"
71;"joy";" passed an exam by points"
72;"fear";" in a cottage in a large forest i was alone for a while in the dark"
73;"anger";" when i spoke to janerik wikstrm on the telephone"
74;"sadness";" railway station goodbye"
75;"disgust";" i saw a cripple in rags with small children in italy he was probably an imposter"
76;"shame";" i told a friend that i was going to a party and he would not enjoy himself if he came along he understood that he would not have fitted in and there was something in that"
77;"guilt";" i was the reason behind the breakup of my friends relationship with his girlfriend she finished with him"
78;"joy";" i passed an exam that i was absolutely certain that i had failed"
79;"fear";" on the way back from denmark with a friend on a small watch there was a storm and my friend was blown overboard i was very scared till i managed to get him back onboard"
80;"anger";" i locked myself out"
81;"sadness";" i missed the last tram home and had to walk in the pouring rain"
82;"disgust";" i found some worms in the food and i had obviously eaten some"
83;"shame";" my friend was so intoxicated that the police came and took him away and they later contacted his parents"
84;"guilt";" i happened to overhear something which i was not meant to hear"
85;"joy";" when i won a trip to greece in a competition"
86;"fear";" when i am out in the dark and a suspicious looking character comes towards me"
87;"anger";" at work when an elderly man complained unjustifiably about me and distrusted me"
88;"sadness";" when i had not understood anything after a lecture"
89;"disgust";" when an alcoholic stood dribbling over a food counter"
90;"shame";" when my friend and i were discussing the good looks of a guy we realized that he had been listening"
91;"guilt";" when i complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that i liked her"
